stop_id,parent_station,stop_name,route_type,name,geometry,lat,lon
000008000011,000008000011,Ascheberg(Holst),-714,Railway Replacement Bus Service,"c(10.339487407057, 54.148461395168)",54.148461395168,10.339487407057
000008000152,000008000152,Hannover Hbf,2,Rail,"c(9.741015272022, 52.376758921502)",52.376758921502,9.741015272022
000008000334,000008000334,Jübek,-714,Railway Replacement Bus Service,"c(9.405444968719, 54.558780775121)",54.558780775121,9.405444968719
000008000334,000008000334,Jübek,2,Rail,"c(9.405444968719, 54.558780775121)",54.558780775121,9.405444968719
000008000464,000008000464,Albersdorf,-714,Railway Replacement Bus Service,"c(9.292147621199, 54.146318587536)",54.146318587536,9.292147621199
000008000749,000008000749,Bad Schwartau,-714,Railway Replacement Bus Service,"c(10.702724339865, 53.916275656033)",53.916275656033,10.702724339865
000008000860,000008000860,Beldorf,-714,Railway Replacement Bus Service,"c(9.356210030725, 54.12526653753)",54.12526653753,9.356210030725
000008000905,000008000905,Beringstedt,-714,Railway Replacement Bus Service,"c(9.537496750853, 54.113667740638)",54.113667740638,9.537496750853
000008001092,000008001092,Bordesholm,-714,Railway Replacement Bus Service,"c(10.043710661932, 54.174372826993)",54.174372826993,10.043710661932
000008001092,000008001092,Bordesholm,2,Rail,"c(10.043710661932, 54.174372826993)",54.174372826993,10.043710661932
000008001139,000008001139,Bredstedt,-714,Railway Replacement Bus Service,"c(8.970338564211, 54.621165998478)",54.621165998478,8.970338564211
000008001139,000008001139,Bredstedt,2,Rail,"c(8.970338564211, 54.621165998478)",54.621165998478,8.970338564211
000008001273,000008001273,Burg(Dithm),2,Rail,"c(9.250085350763, 54.007966397877)",54.007966397877,9.250085350763
000008001502,000008001502,Dorfmark,2,Rail,"c(9.771302523621, 52.899135804538)",52.899135804538,9.771302523621
000008001654,000008001654,Eckernförde,-714,Railway Replacement Bus Service,"c(9.835111309084, 54.467599575448)",54.467599575448,9.835111309084
000008001718,000008001718,Einfeld,-714,Railway Replacement Bus Service,"c(9.997924239137, 54.129371321931)",54.129371321931,9.997924239137
000008001718,000008001718,Einfeld,2,Rail,"c(9.997924239137, 54.129371321931)",54.129371321931,9.997924239137
000008001941,000008001941,Eutin,-714,Railway Replacement Bus Service,"c(10.610117556659, 54.135341614837)",54.135341614837,10.610117556659
000008001958,000008001958,Bad Fallingbostel,2,Rail,"c(9.700234539904, 52.862921668828)",52.862921668828,9.700234539904
000008001977,000008001977,Felde,-714,Railway Replacement Bus Service,"c(9.947022225, 54.309847889251)",54.309847889251,9.947022225
000008002007,000008002007,Flensburg(Gr),-714,Railway Replacement Bus Service,"c(9.363241982725, 54.814842050162)",54.814842050162,9.363241982725
000008002011,000008002011,Flintbek,-714,Railway Replacement Bus Service,"c(10.062909025438, 54.24334955434)",54.24334955434,10.062909025438
000008002011,000008002011,Flintbek,2,Rail,"c(10.062909025438, 54.24334955434)",54.24334955434,10.062909025438
000008002115,000008002115,Friedrichstadt,-714,Railway Replacement Bus Service,"c(9.07926554991, 54.377490341532)",54.377490341532,9.07926554991
000008002115,000008002115,Friedrichstadt,2,Rail,"c(9.07926554991, 54.377490341532)",54.377490341532,9.07926554991
000008002266,000008002266,Gettorf,-714,Railway Replacement Bus Service,"c(9.978684049915, 54.409894717727)",54.409894717727,9.978684049915
000008002319,000008002319,Gokels,-714,Railway Replacement Bus Service,"c(9.470073384045, 54.118756880417)",54.118756880417,9.470073384045
000008002411,000008002411,Großenbrode,2,Rail,"c(11.080785483085, 54.366309226079)",54.366309226079,11.080785483085
000008002496,000008002496,Hademarschen,-714,Railway Replacement Bus Service,"c(9.41447701768, 54.122806702119)",54.122806702119,9.41447701768
000008002504,000008002504,Haffkrug,2,Rail,"c(10.742677653758, 54.054188690433)",54.054188690433,10.742677653758
000008002884,000008002884,Hodenhagen,2,Rail,"c(9.595052914177, 52.766561236203)",52.766561236203,9.595052914177
000008002959,000008002959,Hohenwestedt,-714,Railway Replacement Bus Service,"c(9.654156961314, 54.086585739435)",54.086585739435,9.654156961314
000008003078,000008003078,Aukrug,-714,Railway Replacement Bus Service,"c(9.785805660542, 54.082401135145)",54.082401135145,9.785805660542
000008003222,000008003222,Keitum,2,Rail,"c(8.368966255999, 54.888814500903)",54.888814500903,8.368966255999
000008003303,000008003303,Klanxbüll,2,Rail,"c(8.67645769697, 54.861993627814)",54.861993627814,8.67645769697
000008003544,000008003544,Langenhorn(Schlesw),-714,Railway Replacement Bus Service,"c(8.946413793923, 54.685936859317)",54.685936859317,8.946413793923
000008003544,000008003544,Langenhorn(Schlesw),2,Rail,"c(8.946413793923, 54.685936859317)",54.685936859317,8.946413793923
000008003545,000008003545,Langenhagen Mitte,2,Rail,"c(9.725419838607, 52.440276442474)",52.440276442474,9.725419838607
000008003700,000008003700,Lindwedel,2,Rail,"c(9.689014858008, 52.610945560378)",52.610945560378,9.6890148580080009
000008003776,000008003776,Lübeck-Kücknitz,2,Rail,"c(10.818889420977, 53.924949885511)",53.924949885511,10.818889420977
000008003777,000008003777,Lübeck-Travemünde Hafen,2,Rail,"c(10.865584796995, 53.958756875632)",53.958756875632,10.865584796995
000008003778,000008003778,Lübeck-Travemünde Strand,2,Rail,"c(10.875607550717, 53.964791984627)",53.964791984627,10.875607550717
000008003798,000008003798,Lunden,-714,Railway Replacement Bus Service,"c(9.030739181314, 54.331228177794)",54.331228177794,9.030739181314
000008003798,000008003798,Lunden,2,Rail,"c(9.030739181314, 54.331228177794)",54.331228177794,9.030739181314
000008003829,000008003829,Bad Malente-Gremsmühlen,-714,Railway Replacement Bus Service,"c(10.551505661563, 54.167011586262)",54.167011586262,10.551505661563
000008003954,000008003954,Meldorf,2,Rail,"c(9.08008323669, 54.087774333094)",54.087774333094,9.08008323669
000008003957,000008003957,Mellendorf,2,Rail,"c(9.744506430774, 52.548197041877)",52.548197041877,9.744506430774
000008004093,000008004093,Morsum,2,Rail,"c(8.432470086807, 54.872140236419)",54.872140236419,8.432470086807
000008004456,000008004456,Nordhastedt,-714,Railway Replacement Bus Service,"c(9.183515581811, 54.168383082053)",54.168383082053,9.183515581811
000008004466,000008004466,Nortorf,-714,Railway Replacement Bus Service,"c(9.852582350764, 54.166633554431)",54.166633554431,9.852582350764
000008004466,000008004466,Nortorf,2,Rail,"c(9.852582350764, 54.166633554431)",54.166633554431,9.852582350764
000008004669,000008004669,Oldenburg(Holst),2,Rail,"c(10.882832056158, 54.283822581142)",54.283822581142,10.882832056158
000008004707,000008004707,Osterstedt,-714,Railway Replacement Bus Service,"c(9.575459588847, 54.102216713186)",54.102216713186,9.575459588847
000008004741,000008004741,Owschlag,-714,Railway Replacement Bus Service,"c(9.590512100449, 54.392590967646)",54.392590967646,9.590512100449
000008004741,000008004741,Owschlag,2,Rail,"c(9.590512100449, 54.392590967646)",54.392590967646,9.590512100449
000008004750,000008004750,Pansdorf,-714,Railway Replacement Bus Service,"c(10.703048575948, 53.98103044196)",53.98103044196,10.703048575948
000008004841,000008004841,Plön,-714,Railway Replacement Bus Service,"c(10.422560597064, 54.159475964398)",54.159475964398,10.422560597064
000008004848,000008004848,Pönitz(Holst),-714,Railway Replacement Bus Service,"c(10.671154477632, 54.045652834497)",54.045652834497,10.671154477632
000008004879,000008004879,Preetz,-714,Railway Replacement Bus Service,"c(10.275754855052, 54.233942970233)",54.233942970233,10.275754855052
000008004903,000008004903,Puttgarden,2,Rail,"c(11.226714204701, 54.500369899949)",54.500369899949,11.226714204701
000008004924,000008004924,Raisdorf,-714,Railway Replacement Bus Service,"c(10.243688790926, 54.28093542204)",54.28093542204,10.243688790926
000008005095,000008005095,Rieseby,-714,Railway Replacement Bus Service,"c(9.820486893698, 54.54135859533)",54.54135859533,9.820486893698
000008005321,000008005321,Scharbeutz,2,Rail,"c(10.745757063117, 54.018740876532)",54.018740876532,10.745757063117
000008005362,000008005362,Schleswig,-714,Railway Replacement Bus Service,"c(9.538138422299, 54.49945560648)",54.49945560648,9.538138422299
000008005362,000008005362,Schleswig,2,Rail,"c(9.538138422299, 54.49945560648)",54.49945560648,9.538138422299
000008005457,000008005457,Schwarmstedt,2,Rail,"c(9.624761329872, 52.678880816941)",52.678880816941,9.624761329872
000008005561,000008005561,Sierksdorf,2,Rail,"c(10.76911131874, 54.068520901132)",54.068520901132,10.76911131874
000008005586,000008005586,Sörup,-714,Railway Replacement Bus Service,"c(9.669919173977, 54.716658391825)",54.716658391825,9.669919173977
000008005655,000008005655,St Michaelisdonn,2,Rail,"c(9.118007677084, 53.989616653118)",53.989616653118,9.118007677084
000008005781,000008005781,Suchsdorf,-714,Railway Replacement Bus Service,"c(10.091258122717, 54.349606174372)",54.349606174372,10.091258122717
000008005782,000008005782,Süderbrarup,-714,Railway Replacement Bus Service,"c(9.770909392458, 54.637406431285)",54.637406431285,9.770909392458
000008005825,000008005825,Tarp,-714,Railway Replacement Bus Service,"c(9.398598175334, 54.66481767006)",54.66481767006,9.398598175334
000008005825,000008005825,Tarp,2,Rail,"c(9.398598175334, 54.66481767006)",54.66481767006,9.398598175334
000008005874,000008005874,Timmendorferstrand,2,Rail,"c(10.762267183598, 53.99421169337)",53.99421169337,10.762267183598
000008006193,000008006193,Walsrode,2,Rail,"c(9.600912401834, 52.864859203781)",52.864859203781,9.600912401834
000008006213,000008006213,Wasbek,-714,Railway Replacement Bus Service,"c(9.898013929205, 54.075577709989)",54.075577709989,9.898013929205
000008006460,000008006460,Wilster,2,Rail,"c(9.383448533635, 53.926224239845)",53.926224239845,9.383448533635
000008006704,000008006704,Lübeck-Travem. Skandinavienkai,2,Rail,"c(10.854031737316, 53.950785673446)",53.950785673446,10.854031737316
000008010018,000008010018,Bad Kleinen,2,Rail,"c(11.466921152844, 53.766978062415)",53.766978062415,11.466921152844
000008010051,000008010051,Blankenberg(Meckl),2,Rail,"c(11.715289285396, 53.772309460055)",53.772309460055,11.715289285396
000008010066,000008010066,Bützow,2,Rail,"c(11.998194839502, 53.837117648125)",53.837117648125,11.998194839502
000008010156,000008010156,Hagenow Land,2,Rail,"c(11.215698155898, 53.413579449838)",53.413579449838,11.215698155898
000008010173,000008010173,Holthusen,2,Rail,"c(11.364806106394, 53.555827227864)",53.555827227864,11.364806106394
000008010322,000008010322,Schwaan,2,Rail,"c(12.117897716415, 53.939184400482)",53.939184400482,12.117897716415
000008011230,000008011230,Boizenburg(Elbe),2,Rail,"c(10.754474693047, 53.3780710469)",53.3780710469,10.754474693047
